"","X","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"55",55,0.1,"Spatial",1,1,350,1578,1,350,1,20,9.01714285714286,1,0.0559792214913166,0.00708298737856443,0.000386819951595174,0.782571391165921,18,0.168010134899108,0.589503093194971,0.0728601618248826,13.7249214790858,0.838656560357754,0.0314695047073271,14.4228571428571,10,7.64962750716332,736.299049478365,0,25.32,20.8065286205513,83,8862,0.703316273566972
"56",56,0.1,"Spatial",1,1,350,1622,1,350,2,17,9.26857142857143,1,0.0449773580818735,0.00610398906289971,0.000373888148817594,0.822693626933001,20,0.132082224534967,0.617385444743935,0.0821742190353439,12.169266854485,0.938078701663881,0.0221530904625461,15.3657142857143,10,7.87295947605403,738.404068220784,0,26.1771428571429,16.2633253403375,79,9162,0.428635801797427
"57",57,0.1,"Spatial",1,1,350,1735,1,350,2,23,9.91428571428571,1,0.0597036307819428,0.00609260253533064,0.000392448524380793,0.796489132872128,18,0.159422838759862,0.61812770258887,0.0625684678477095,15.9824914113924,0.938521618159316,0.0374948833401555,14.0542857142857,10,7.48016373311502,750.913602907005,1,31.4485714285714,23.590621120058,133,11007,0.605121074760603
"58",58,0.1,"Spatial",1,1,350,1708,1,350,1,21,9.76,1,0.0312901926765465,0.00328310645210842,0.000349640856788364,0.81503885147179,21,0.176412247291162,0.62199614102789,0.0755965463429394,13.2281175315015,0.91832458064374,0.0322063037249284,16.42,12,8.36099877200164,746.770854713787,0,30.3942857142857,21.5323830604504,112,10638,0.528410386686014
"59",59,0.1,"Spatial",1,1,350,1650,1,350,1,18,9.42857142857143,1,0.0676397084802622,0.00823176188152091,0.000392228858355832,0.799911845730028,20,0.119469307563013,0.595790816326531,0.0768776328466476,13.0076845887641,0.937114950186743,0.024559967253377,14.4942857142857,10,7.51218993041343,747.27085725872,0,26.6914285714286,16.9783845629066,83,9342,0.514885009000908
"60",60,0.1,"Spatial",1,1,350,1658,1,350,2,19,9.47428571428572,2,0.0599815868515768,0.00657418827661988,0.000377536615398588,0.797145033547184,20,0.0951625788986041,0.594989561586639,0.0727310066154572,13.7492940980068,0.933582047843652,0.027294310274253,14.7514285714286,11,7.72952926729431,749.206958867083,1,26.8714285714286,17.0864324169335,94,9405,0.548163231178027
"61",61,0.1,"Spatial",1,1,350,1622,1,350,3,17,9.26857142857143,3,0.0627633834973662,0.00736910052121698,0.000375359107454302,0.793550000684181,20,0.093522991142833,0.616203272582147,0.0783406360015226,12.7647674443256,0.950083418115919,0.0221530904625461,15.0742857142857,10,7.81900941465411,741.043630235943,1,26.4685714285714,17.6150458517772,84,9264,0.555630192159967
"62",62,0.1,"Spatial",1,1,350,1603,1,350,2,17,9.16,2,0.0540095906380598,0.00647946203653916,0.000387243231394708,0.775011490074949,18,0.10054972339629,0.588158706229014,0.083754464820969,11.9396619886184,0.868784872662963,0.0224641833810888,14.1171428571429,10,7.61869832173557,743.116779740995,0,24.5228571428571,14.3695911356749,64,8583,0.563685720057481
"63",63,0.1,"Spatial",1,1,350,1568,1,350,1,18,8.96,1,0.0593468655226583,0.00670581316330675,0.000381213371891928,0.794047402124115,18,0.118609791242037,0.585008493771234,0.0766315359106916,13.0494578780912,0.94212401590172,0.0259025787965616,14.4285714285714,10,7.70084322554237,741.39878490112,0,23.6142857142857,16.3278488847062,85,8265,0.559032275771216
"64",64,0.1,"Spatial",1,1,350,1608,1,350,2,20,9.18857142857143,2,0.0481113839480291,0.00503187713703665,0.000369831647807186,0.816815719289127,19,0.117386251780332,0.6093907436018,0.0764165276753692,13.0861742926632,0.956068104013994,0.0309783053622595,14.7142857142857,10,7.90058125255833,741.352257796461,0,25.92,18.0079383959466,97,9072,0.510739295685902
"65",65,0.1,"Spatial",1,1,350,1593,1,350,1,17,9.10285714285714,1,0.04826244591133,0.00529793739538473,0.00036643565559524,0.80805777315933,18,0.131708336727543,0.611567963513233,0.0833349957929999,11.9997606105837,0.959007960907792,0.0226279164961113,14.4828571428571,10,8.0392795742939,737.36588703226,0,25.2857142857143,16.4908091595779,72,8850,0.486695243839941
"66",66,0.1,"Spatial",1,1,350,1662,1,350,1,20,9.49714285714286,1,0.0720066741264495,0.00821501748264533,0.000408988359602792,0.758583781881688,20,0.169371028758665,0.584458427515426,0.0651748340469915,15.3433455508148,0.93659520534804,0.0300941465411379,14.3028571428571,10,7.22370855505526,749.872848851862,0,27.3342857142857,21.7542861153394,115,9567,0.678758609088313
"67",67,0.1,"Spatial",1,1,350,1699,1,350,2,20,9.70857142857143,2,0.0480763853810325,0.00622200634779504,0.00039441236821996,0.779663347999949,18,0.0921264946441572,0.595442251251655,0.0705584867579531,14.1726395498028,0.943749308395608,0.0294883340155546,14.0657142857143,10,7.48373311502251,751.525299266136,0,29.5628571428571,23.2450578376648,104,10347,0.585433167288986
"68",68,0.1,"Spatial",1,1,350,1611,1,350,2,17,9.20571428571429,1,0.0464169092485953,0.00620428368636649,0.00037995778798314,0.787710075169892,20,0.1106734933417,0.582268370607029,0.0800132725978405,12.4979265005965,0.941023213531445,0.0223331968890708,14.8085714285714,10,7.72767908309456,743.906908500193,0,24.9942857142857,15.6192142132758,77,8748,0.468352075541899
"69",69,0.1,"Spatial",1,1,350,1679,1,350,2,17,9.59428571428571,2,0.0679351687688052,0.00708371671620481,0.000391454209421566,0.801796958611102,19,0.123588991013384,0.598807971689328,0.0769092550267321,13.0023363202832,0.942149558785129,0.0212198117069177,14.3942857142857,10,7.52104789193614,752.198988393615,1,27.5571428571429,16.9930338957585,83,9645,0.517613870763933
