"","X","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"43",43,0.1,"ER",1,1,400,8019,1,400,22,62,40.095,22,20.5320651696518,0.706058232162623,0.00130878769271732,0.0958932396513512,3,0.00331766834169396,0.10204443283777,0.0243214231879419,41.1160149746409,0.354103395977231,0.0548997493734336,2.9675,2,1.91533834586466,2067.31240081838,18,82.0575,27.0555762137984,206,32823,-0.0189461066043073
"44",44,0.1,"ER",1,1,400,7912,1,400,20,57,39.56,20,18.9876678696693,0.702856069510827,0.00130646174476064,0.102018683974171,3,0.00284042850506153,0.0988563114840972,0.0247739285066889,40.3650151702828,0.289632261027703,0.0437092731829574,2.985,2,1.91872180451128,2054.60045484538,16,76.95,22.7088469395368,144,30780,-0.00496454613998076
"45",45,0.1,"ER",1,1,400,7989,1,400,21,62,39.945,21,19.8182964240565,0.710799695859878,0.00130789883699827,0.0987975141874653,3,0.00327373856998123,0.100221815751742,0.0244332580913112,40.9278204430548,0.356248234130249,0.0552756892230576,2.9725,2,1.9166290726817,2065.07155527378,22,79.86,26.6068640210112,180,31944,0.0106979174118391
"46",46,0.1,"ER",1,1,400,7990,1,400,24,62,39.95,24,22.3014490379757,0.711512537120146,0.00130863049589535,0.0980515381398212,3,0.00300869153157566,0.0989169244670904,0.0244558761936779,40.8899682056171,0.373918112686705,0.0552631578947368,2.975,2,1.91552631578947,2064.78096636585,23,78.8175,25.6478796018341,196,31527,-0.0189549011102342
"47",47,0.1,"ER",1,1,400,8128,1,400,27,64,40.64,27,24.5566843836362,0.708948795391101,0.00131098339723665,0.0997205922634501,3,0.00316864992098827,0.101729511034973,0.0240842984214261,41.5208274910915,0.378954871978011,0.058546365914787,2.9325,2,1.91204260651629,2082.59416247929,36,83.73,26.4502578503665,203,33492,-0.0036869990069125
"48",48,0.1,"ER",1,1,400,7963,1,400,25,58,39.815,25,23.0435184641186,0.705639846065442,0.00130771611920522,0.0968546619664359,3,0.00236482643659881,0.100137447272383,0.0245345883280976,40.7587845627219,0.331475254535104,0.0455764411027569,2.9725,2,1.91689223057644,2064.27188255695,27,79.23,25.4123309913916,170,31692,-0.0100613839791691
"49",49,0.1,"ER",1,1,400,8105,1,400,25,57,40.525,25,23.1865797288941,0.705723740406423,0.00131080569377278,0.100319320637789,3,0.00255664915448863,0.101722222900316,0.0241295452681886,41.4429691436563,0.302480121764367,0.0412907268170426,2.9625,2,1.91231829573935,2077.61292938401,23,83.34,26.511158099174,163,33336,-0.0111821271515747
"50",50,0.1,"ER",1,1,400,7854,1,400,22,57,39.27,22,20.1029646268328,0.704683021536683,0.00130426454486259,0.10294643704184,3,0.00249999056932421,0.100397524214016,0.0247692817414874,40.3725877252647,0.350771557629126,0.0444360902255639,2.9675,2,1.92210526315789,2045.76868478336,12,77.535,27.1776624886296,185,31014,0.018225583859918
"51",51,0.1,"ER",1,1,400,7884,1,400,23,59,39.42,23,21.3745193962188,0.707550876259905,0.0013053671440632,0.100553656829198,3,0.0030517959568986,0.0997672644397447,0.0247302983688698,40.4362286731965,0.341028699174433,0.0490726817042606,2.97,2,1.92041353383459,2051.1943418183,23,77.4825,26.5908325309065,184,30993,0.0103590366681223
"52",52,0.1,"ER",1,1,400,7919,1,400,24,59,39.595,24,21.9127605403499,0.70819902653258,0.00130711304692692,0.0994472685390265,3,0.00286202342702396,0.098995944049671,0.024732426908887,40.4327486212311,0.340066915590286,0.0486340852130326,2.975,2,1.91773182957393,2059.50723464676,21,77.25,23.8858500913504,177,30900,-0.00340059931353332
"53",53,0.1,"ER",1,1,400,8004,1,400,23,58,40.02,23,21.6603039216104,0.705421074424704,0.00130908256265345,0.103145040111129,3,0.0025183354007959,0.097608286252354,0.0244994448945798,40.8172513419371,0.311951786498726,0.045062656641604,2.965,2,1.91482456140351,2067.40261141154,23,77.745,23.0178088403202,170,31098,-0.00546555233142286
"54",54,0.1,"ER",1,1,400,7891,1,400,24,54,39.455,24,22.31906773709,0.709481090507502,0.00130630096374798,0.0958458101376535,3,0.00221988230601986,0.0991085677440155,0.0248013960308084,40.3203109517625,0.271728135885404,0.036453634085213,2.9825,2,1.91895989974937,2053.66838636358,25,76.8525,23.7361381523188,162,30741,-0.00896709511523511
"55",55,0.1,"ER",1,1,400,7759,1,400,21,53,38.795,21,19.7450736118573,0.699177317149082,0.00130355892540282,0.101566314626234,3,0.00204543208510422,0.0965202430094763,0.0252034318269987,39.6771363068409,0.287113960514978,0.0356015037593985,2.9825,2,1.9230701754386,2039.0935884193,12,72.3675,23.1833153156005,155,28947,0.00516243213231507
"56",56,0.1,"ER",1,1,400,7971,1,400,25,57,39.855,25,22.9131484232981,0.706021469907887,0.00130820931306796,0.101658807682932,3,0.00223925037830182,0.100374001819468,0.0245454832340228,40.7406931232826,0.32674176935407,0.0429699248120301,2.975,2,1.91611528822055,2065.53301026572,26,79.44,25.438833219882,179,31776,0.00700162738311499
"57",57,0.1,"ER",1,1,400,8124,1,400,27,61,40.62,27,24.9203857230269,0.713443558308877,0.00131107718501798,0.0954633040772992,3,0.00318294126635578,0.100760357779572,0.0241497798210521,41.40824501962,0.327196168626908,0.051077694235589,2.9575,2,1.91187969924812,2083.58347076099,31,82.6575,24.5137206478331,182,33063,-0.000471941833496783
"58",58,0.1,"ER",1,1,400,7940,1,400,24,59,39.7,24,22.1974531591567,0.705928583300906,0.00130664071868308,0.0935297159426175,3,0.00284816023539814,0.0993942827677744,0.024632986658074,40.5959705122573,0.32298800093197,0.0483709273182957,2.9725,2,1.91848370927318,2060.75035913588,24,78.0675,24.7602629287484,169,31227,0.0105913638138315
"59",59,0.1,"ER",1,1,400,7961,1,400,24,55,39.805,24,22.3029291295226,0.708325206187039,0.0013078848971364,0.0924030382949185,3,0.00208988376949059,0.0986961016228969,0.0246253387174941,40.6085784838195,0.292170305540441,0.0380827067669173,2.9725,2,1.91657894736842,2063.94140423231,28,77.8125,23.5067812697562,154,31125,-0.0288003938625942
"60",60,0.1,"ER",1,1,400,7981,1,400,24,59,39.905,24,22.4054257701535,0.702956148598184,0.00130829934853871,0.0985908205964859,3,0.00281741671329996,0.098886654352198,0.0245346519778971,40.7586788229516,0.32315277868783,0.0478571428571429,2.9725,2,1.91598997493734,2064.04184082963,27,78.4275,24.2150917905769,173,31371,-0.0129000160866297
"61",61,0.1,"ER",1,1,400,7863,1,400,23,57,39.315,23,21.4649391062429,0.709555086645957,0.00130549671190949,0.103864969880603,3,0.00250480526858304,0.0980771662273748,0.0248399305975307,40.2577614326912,0.313485036742222,0.0443233082706767,2.9775,2,1.92017543859649,2047.48889733511,17,75.63,24.8994589829601,170,30252,0.0103326657008175
"62",62,0.1,"ER",1,1,400,7974,1,400,23,59,39.87,23,21.5041776203701,0.71483010659107,0.00130810734154212,0.0998292654664152,3,0.00292580709312233,0.0975861318496229,0.0245280485120659,40.7696519153604,0.349753342599717,0.0479448621553885,2.9675,2,1.91630325814536,2064.25699084883,19,77.3475,25.1328648583876,167,30939,-0.0111918962805016
"63",63,0.1,"ER",1,1,400,7846,1,400,23,57,39.23,23,21.4392135657145,0.707218184569992,0.00130522993532568,0.0974627709458569,3,0.00226329377570943,0.0988911201736713,0.0248770855030677,40.1976348827794,0.329279224027172,0.0445363408521303,2.98,2,1.92057644110276,2051.15715176579,20,75.96,25.4405474318869,174,30384,0.0170169880869998
"64",64,0.1,"ER",1,1,400,8082,1,400,26,58,40.41,26,23.5804948618706,0.713824116401844,0.00131036059948798,0.0959100869759795,3,0.0024037561533977,0.101049337260677,0.0241937510832289,41.3329870411538,0.314681965131985,0.0440852130325815,2.9475,2,1.91298245614035,2081.46099007127,21,82.335,26.3165190124441,175,32934,-0.0145579680274097
"65",65,0.1,"ER",1,1,400,8017,1,400,23,59,40.085,23,21.5370666423499,0.707728992053972,0.00130891138810933,0.102985635068949,3,0.00272425655441666,0.0998475657372758,0.0244223513385168,40.9460983563399,0.335560533878218,0.047406015037594,2.96,2,1.91512531328321,2069.18266559334,16,79.9125,24.7198811700756,177,31965,-0.00711170914960559
"66",66,0.1,"ER",1,1,400,7892,1,400,21,59,39.46,21,19.8933506492603,0.709982552723137,0.0013062838260105,0.0946488954150161,3,0.00281838589549069,0.0983315481187698,0.024727201848848,40.4412923917871,0.339084949854713,0.0489724310776942,2.97,2,1.9190350877193,2056.8202753205,19,76.425,25.4890880382676,164,30570,0.0272654718582728
"67",67,0.1,"ER",1,1,400,7988,1,400,25,63,39.94,25,23.1731486428513,0.706998466497163,0.0013085478889925,0.103781109821969,3,0.00338489079001764,0.100693418496608,0.0244790590108406,40.8512434876335,0.377127755743645,0.0577944862155388,2.97,2,1.91563909774436,2065.90544012468,28,80.085,25.7185026478237,179,32034,0.00632734530259489
"68",68,0.1,"ER",1,1,400,7892,1,400,21,55,39.46,21,19.8966139636196,0.704108370683053,0.00130585776902342,0.0935943090952388,3,0.0021016358340272,0.0986474556830703,0.0247811102846682,40.3533170432113,0.294282024882537,0.0389473684210526,2.9775,2,1.91966165413534,2056.47216938412,23,76.545,23.68386134524,146,30618,0.00861483390623477
"69",69,0.1,"ER",1,1,400,8132,1,400,24,60,40.66,24,22.409696529187,0.715574219219181,0.00131110207506026,0.103105517749557,3,0.00271768798410775,0.101532224588917,0.0240402432604165,41.5969168517754,0.326443005627561,0.0484711779448622,2.9375,2,1.91189223057644,2083.18376086006,28,83.775,26.4881753539945,183,33510,-0.0136504537350447
"70",70,0.1,"ER",1,1,400,7841,1,400,17,61,39.205,17,16.1507474925599,0.710646386489272,0.00130426546170862,0.0967432510067577,3,0.00350887931740138,0.0996490519845817,0.0248825071463587,40.1888762301165,0.352011023088872,0.0546240601503759,2.9775,2,1.92204260651629,2048.28230808382,16,76.5225,24.9887091044489,177,30609,-0.00763081309763448
"71",71,0.1,"ER",1,1,400,7949,1,400,20,57,39.745,20,19.090763941244,0.704752960019391,0.00130733383735805,0.097510950145902,3,0.00233944050826567,0.0991672759383575,0.0245364717816734,40.7556558619366,0.30451389908823,0.0432456140350877,2.97,2,1.91748120300752,2059.55796794734,24,78.33,26.3558851436308,160,31332,-0.0146482581613313
"72",72,0.1,"ER",1,1,400,7962,1,400,22,57,39.81,22,20.7074844790108,0.707669741165767,0.00130759558839969,0.0996209481851152,3,0.00239534771944438,0.0988836584577761,0.0245931067129422,40.661800547295,0.311958968412206,0.0430827067669173,2.965,2,1.91705513784461,2063.92129258457,17,78.0375,23.4302910801435,164,31215,-0.00483621516896916
"73",73,0.1,"ER",1,1,400,7985,1,400,24,67,39.925,24,22.2899310330309,0.709023159946089,0.00130806796496059,0.0960237122751684,3,0.00430852420574066,0.0988186973642067,0.024450208068214,40.8994474488758,0.406784631254072,0.0678571428571429,2.96,2,1.91636591478697,2063.46058550905,31,78.675,26.5059576222721,227,31470,-0.00623421584851355
"74",74,0.1,"ER",1,1,400,8023,1,400,22,59,40.115,22,20.8409341764705,0.71213740840967,0.00130839824700095,0.0924467762809991,3,0.00257779495680669,0.100384453748813,0.0243652339637701,41.0420848610339,0.330689647101142,0.0473308270676692,2.97,2,1.9159022556391,2067.75201581314,23,80.6175,26.0242068487257,183,32247,-0.0169486925626847
