"","X","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"43",43,"sbm",1,1,50,431,1,50,10,23,17.24,10,2.06625258198275,0.118767268221827,0.0117950829267375,0.425665236513585,3,0.0441551069589617,0.61449315833566,0.0557177031761301,17.9476170587808,0.44221498550498,0.117551020408163,2.74,2,1.73795918367347,132.42484638295,19,88.02,38.0437395960095,156,4401,0.109536367025882
"44",44,"sbm",1,1,50,283,0,48,0,23,11.32,0,-3.22451558581248e-17,-2.76499569994547e-16,-1,0.0494012910636916,4,0.0703215545374013,0.484552476147206,0.059754415275037,16.7351650149568,0.542847179128886,0.238367346938776,3.4,0,2.02393617021277,108.689182699915,0,42.66,37.9417437444215,127,2133,0.0963519438330687
"45",45,"sbm",1,1,50,117,0,25,0,12,4.68,0,-2.04261021560916e-15,-1.52257032861656e-16,-1,0.298743516692235,5,0.0783327300793981,0.486577181208054,0.100437317509329,9.95645866295777,0.720820026675471,0.149387755102041,3.28,0,2.25833333333333,70.2295740518573,0,8.7,11.9527129530821,37,435,0.765858721533671
"46",46,"sbm",1,1,50,83,0,47,0,8,3.32,0,-1.08815041857879e-31,-2.22044617266182e-16,-1,0.412904630570475,7,0.184571426267595,0.151006711409396,0.200751034214586,4.98129438741065,0.717763594824651,0.0955102040816326,5.14,0,3.24236817761332,72.471573330315,0,0.9,1.4321384039831,5,45,0.0586853672449087
"47",47,"sbm",1,1,50,164,1,50,1,15,6.56,1,0.919719167595938,0.387638387070768,0.00926264658940249,0.246635187388459,4,0.0975906373749185,0.0968586387434555,0.129898682604666,7.69830748048004,0.53111324755659,0.172244897959184,3.52,3,2.22612244897959,99.5272850812851,0,2.22,2.27039509283099,9,111,-0.397280571777216
"48",48,"sbm",1,1,50,432,1,50,5,31,17.28,5,4.70344464205073,0.634520724762891,0.012425085193574,0.0612916881001372,3,0.0418034100773591,0.465074194715889,0.0493800002000393,20.251113729222,0.427480379514932,0.28,2.26,2,1.65795918367347,147.181710551514,5,77.1,60.2742880166856,192,3855,-0.00695283498958733
"49",49,"sbm",1,1,50,174,1,50,2,12,6.96,2,1.38466486413613,0.346110027888449,0.00931014459201644,0.260420795349452,4,0.0569676923983953,0.13857998289136,0.128301249247233,7.79415637702038,0.467887898487745,0.102857142857143,3.42,3,2.21387755102041,106.867926215867,0,3.24,2.26382374737603,8,162,0.0198915553015327
"50",50,"sbm",1,1,50,294,1,50,2,20,11.76,2,1.28131974224274,0.448396927885698,0.0106664347522052,0.0862892776158082,4,0.051787788665536,0.385786802030457,0.0649091880366409,15.4061394118118,0.476061388461183,0.168163265306122,3.16,2,1.9534693877551,123.254037356891,0,31.92,26.7344003722789,80,1596,0.164559054467311
"51",51,"sbm",1,1,50,191,0,48,0,18,7.64,0,5.66772564721475e-17,-1.95515367854635e-16,-1,0.106384145171459,6,0.0682482982004563,0.313664596273292,0.0871619472419999,11.4728965063568,0.599869387096827,0.211428571428571,4.22,0,2.37943262411348,97.4693702441501,0,12.12,13.4128175067503,47,606,0.173116215933638
"52",52,"sbm",1,1,50,167,1,50,1,14,6.68,1,0.889666578969977,0.397029001210504,0.00916022650715516,0.23862454731256,4,0.077770261779835,0.100617828773169,0.128985638167849,7.75280111959987,0.547089087338935,0.149387755102041,3.56,3,2.25142857142857,101.929422584156,0,2.28,2.70328598228911,14,114,-0.193918790761463
